username,event_date,country,user_day_total_length,user_day_count,treatment,post
Asone,2023-04-07,france,0,1,0,1
Asone,2023-04-08,france,0,1,0,1
AstralJaeger,2023-03-29,austria,155,1,0,0
Astropilot,2023-03-31,france,898,1,0,0
AsuMagic,2023-03-27,france,659,1,0,0
AsuMagic,2023-04-04,france,1479,1,0,1
AsuMagic,2023-04-07,france,1316,1,0,1
AsueG,2023-04-07,france,504,1,0,1
Athozus,2023-04-01,france,1207,7,0,1
Athozus,2023-04-02,france,482,3,0,1
Athozus,2023-04-05,france,113,1,0,1
Atinux,2023-03-21,france,448,1,0,0
AuRoN89,2023-04-04,italy,165,1,1,1
AubaneNourry,2023-03-27,france,0,5,0,0
AudricV,2023-03-29,france,93,2,0,0
Augustin68,2023-03-22,france,207,1,0,0
Augustin82,2023-03-24,france,211,1,0,0
Auties00,2023-03-22,italy,796,1,1,0
Av32000,2023-04-01,france,0,1,0,1
Averell7,2023-03-23,france,837,1,0,0
Aviortheking,2023-03-23,france,21,1,0,0
AwePhD,2023-03-31,france,406,1,0,0
AwePhD,2023-04-04,france,443,1,0,1
AwePhD,2023-04-06,france,1207,1,0,1
Awlexus,2023-04-03,italy,1004,1,1,1
AxelHippolite,2023-03-24,france,0,13,0,0
AxelRICHARD,2023-04-05,france,240,1,0,1
AxelTerizaki,2023-03-27,france,860,1,0,0
AyloSrd,2023-03-28,france,147,1,0,0
AyloSrd,2023-04-01,france,197,1,0,1
AyloSrd,2023-04-05,france,348,1,0,1
Aympab,2023-03-29,france,959,1,0,0
AzHicham,2023-04-04,france,645,1,0,1
Azer0s,2023-03-30,austria,958,1,0,0
AzhamProdLive,2023-03-19,france,231,1,0,0
AzhamProdLive,2023-03-25,france,378,1,0,0
Azlou77,2023-03-29,france,113,1,0,0
Azodox,2023-03-22,france,1489,1,0,0
AzureNocte,2023-03-25,italy,1246,1,1,0
AzureNocte,2023-04-04,italy,979,1,1,1
AzureNocte,2023-04-05,italy,605,1,1,1
B0SEmc,2023-04-06,france,430,1,0,1
B2o5T,2023-03-30,france,1098,1,0,0
B2o5T,2023-03-31,france,972,4,0,0
B3nz01d,2023-03-21,france,746,3,0,0
B3nz01d,2023-03-24,france,1266,4,0,0
BBE78,2023-03-27,france,130,1,0,0
BHAVSAR-Ravi-2000,2023-03-27,france,0,1,0,0
BLOCKCHAINDEVWEB,2023-03-19,france,2,1,0,0
BLOCKCHAINDEVWEB,2023-03-21,france,6,3,0,0
BLOCKCHAINDEVWEB,2023-03-22,france,2,2,0,0
BLOCKCHAINDEVWEB,2023-03-23,france,0,1,0,0
BLOCKCHAINDEVWEB,2023-03-24,france,0,2,0,0
BLOCKCHAINDEVWEB,2023-03-27,france,2,1,0,0
BLOCKCHAINDEVWEB,2023-03-28,france,2,1,0,0
BLOCKCHAINDEVWEB,2023-04-01,france,2,1,0,1
BLOCKCHAINDEVWEB,2023-04-03,france,4,2,0,1
BLOCKCHAINDEVWEB,2023-04-04,france,4,2,0,1
BLOCKCHAINDEVWEB,2023-04-05,france,2,1,0,1
BLOCKCHAINDEVWEB,2023-04-06,france,4,2,0,1
BLukassen,2023-04-05,austria,264,1,0,1
BRA1L0R,2023-03-18,italy,349,1,1,0
BUSINESS-TESTS-EXPERT,2023-04-04,france,0,3,0,1
BUSINESS-TESTS-EXPERT,2023-04-06,france,0,9,0,1
Bab64,2023-03-28,france,93,1,0,0
Baddou37,2023-03-28,france,242,1,0,0
BaghrosseRachid,2023-04-03,france,31,4,0,1
Baio1977,2023-04-03,italy,223,1,1,1
Bal7hazar,2023-03-27,france,0,1,0,0
BalamiRR,2023-03-18,france,1357,1,0,0
Balastrong,2023-03-22,italy,701,1,1,0
Balastrong,2023-04-02,italy,1101,4,1,1
Balgor18,2023-03-24,france,83,1,0,0
Balgor18,2023-03-26,france,699,3,0,0
Balgor18,2023-03-28,france,226,4,0,0
Balgor18,2023-03-29,france,342,4,0,0
Balgor18,2023-03-30,france,0,2,0,0
Balgor18,2023-03-31,france,0,2,0,0
