username,event_date,release_id,country,organization_id,Y,D_tau_m3,D_tau_m2,D_tau_m1,D_tau_0,D_tau_1,D_tau_2,D_tau_3,D_tau_4
DavidXanatos,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
DavidXanatos,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
DavidXanatos,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
DavidXanatos,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
DavidXanatos,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
DavidXanatos,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
DavidXanatos,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
DavidXanatos,2023-04-06,98449537,austria,63755826,1,0,0,0,0,0,0,0,0
behackl,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
behackl,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
behackl,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
behackl,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
behackl,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
behackl,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
behackl,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
behackl,2023-04-06,98448261,austria,65579849,1,0,0,0,0,0,0,0,0
karlhorky,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
karlhorky,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
karlhorky,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
karlhorky,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
karlhorky,2023-04-03,97812041,austria,43520685,1,0,0,0,0,0,0,0,0
karlhorky,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
karlhorky,2023-04-05,98151428,austria,43520685,1,0,0,0,0,0,0,0,0
karlhorky,2023-04-06,98439051,austria,43520685,1,0,0,0,0,0,0,0,0
dhaavi,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
dhaavi,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
dhaavi,2023-03-30,97492101,austria,20678162,1,0,0,0,0,0,0,0,0
dhaavi,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
dhaavi,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
dhaavi,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
dhaavi,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
dhaavi,2023-04-06,98429825,austria,20678162,1,0,0,0,0,0,0,0,0
michavie,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
michavie,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
michavie,2023-03-30,97538412,austria,83925915,1,0,0,0,0,0,0,0,0
michavie,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
michavie,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
michavie,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
michavie,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
michavie,2023-04-06,98424937,austria,83925915,1,0,0,0,0,0,0,0,0
raulssorban,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
raulssorban,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
raulssorban,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
raulssorban,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
raulssorban,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
raulssorban,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
raulssorban,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
raulssorban,2023-04-06,98423165,austria,112440656,1,0,0,0,0,0,0,0,0
LukeWeidenwalker,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
LukeWeidenwalker,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
LukeWeidenwalker,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
LukeWeidenwalker,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
LukeWeidenwalker,2023-04-03,97857930,austria,27365216,1,0,0,0,0,0,0,0,0
LukeWeidenwalker,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
LukeWeidenwalker,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
LukeWeidenwalker,2023-04-06,98421416,austria,23743223,1,0,0,0,0,0,0,0,0
sreichl,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
sreichl,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
sreichl,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
sreichl,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
sreichl,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
sreichl,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
sreichl,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
sreichl,2023-04-06,98419572,austria,3911278,1,0,0,0,0,0,0,0,0
Serafadam,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
Serafadam,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
Serafadam,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
Serafadam,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
Serafadam,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
Serafadam,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
Serafadam,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
Serafadam,2023-04-06,98418221,austria,60142758,1,0,0,0,0,0,0,0,0
rfuzzo,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
rfuzzo,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
rfuzzo,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
rfuzzo,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
rfuzzo,2023-04-03,97844154,austria,73969561,1,0,0,0,0,0,0,0,0
rfuzzo,2023-04-04,98029239,austria,73969561,1,0,0,0,0,0,0,0,0
rfuzzo,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
rfuzzo,2023-04-06,98391591,austria,73969561,1,0,0,0,0,0,0,0,0
boehlerlukas,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
boehlerlukas,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
boehlerlukas,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
boehlerlukas,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
boehlerlukas,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
boehlerlukas,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
boehlerlukas,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
boehlerlukas,2023-04-06,98386763,austria,91374640,1,0,0,0,0,0,0,0,0
houmain,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
houmain,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
houmain,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
houmain,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
houmain,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
houmain,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
houmain,2023-04-05,98137004,austria,,1,0,0,0,0,0,0,0,0
houmain,2023-04-06,98385796,austria,,1,0,0,0,0,0,0,0,0
zibous,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
zibous,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
zibous,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
zibous,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
zibous,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
zibous,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
zibous,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
zibous,2023-04-06,98382426,austria,,1,0,0,0,0,0,0,0,0
TheKeymaster,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
TheKeymaster,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
TheKeymaster,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
TheKeymaster,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
TheKeymaster,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
TheKeymaster,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
TheKeymaster,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
TheKeymaster,2023-04-06,52923012,austria,3425374,1,0,0,0,0,0,0,0,0
WanzenBug,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
WanzenBug,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
WanzenBug,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
WanzenBug,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
WanzenBug,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
WanzenBug,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
WanzenBug,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
WanzenBug,2023-04-06,98379943,austria,52698954,1,0,0,0,0,0,0,0,0
oliverpk2000,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
oliverpk2000,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
oliverpk2000,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
oliverpk2000,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
oliverpk2000,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
oliverpk2000,2023-04-04,98067548,austria,,1,0,0,0,0,0,0,0,0
oliverpk2000,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
oliverpk2000,2023-04-06,98378961,austria,,1,0,0,0,0,0,0,0,0
aluxnimm,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
aluxnimm,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
aluxnimm,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
aluxnimm,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
aluxnimm,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
aluxnimm,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
aluxnimm,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
aluxnimm,2023-04-06,98358344,austria,,1,0,0,0,0,0,0,0,0
AndreasSchantl,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
AndreasSchantl,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
AndreasSchantl,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
AndreasSchantl,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
AndreasSchantl,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
AndreasSchantl,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
AndreasSchantl,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
AndreasSchantl,2023-04-06,98348275,austria,63889666,1,0,0,0,0,0,0,0,0
ChristofSchwarz,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
ChristofSchwarz,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
ChristofSchwarz,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
ChristofSchwarz,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
ChristofSchwarz,2023-04-03,97813456,austria,,1,0,0,0,0,0,0,0,0
ChristofSchwarz,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
ChristofSchwarz,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
ChristofSchwarz,2023-04-06,98344122,austria,,1,0,0,0,0,0,0,0,0
stoefln,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
stoefln,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
stoefln,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
stoefln,2023-03-31,97676648,austria,,1,0,0,0,0,0,0,0,0
stoefln,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
stoefln,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
stoefln,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
stoefln,2023-04-06,98338584,austria,,1,0,0,0,0,0,0,0,0
cernoel,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
cernoel,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
cernoel,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
cernoel,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
cernoel,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
cernoel,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
cernoel,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
cernoel,2023-04-06,98340028,austria,112955446,1,0,0,0,0,0,0,0,0
mfederczuk,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
mfederczuk,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
mfederczuk,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
mfederczuk,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
mfederczuk,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
mfederczuk,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
mfederczuk,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
mfederczuk,2023-04-06,98306635,austria,,1,0,0,0,0,0,0,0,0
Jotschi,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
Jotschi,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
Jotschi,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
Jotschi,2023-03-31,97700521,austria,80426422,1,0,0,0,0,0,0,0,0
Jotschi,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
Jotschi,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
Jotschi,2023-04-05,98137568,austria,80426422,1,0,0,0,0,0,0,0,0
Jotschi,2023-04-06,98291026,austria,80426422,1,0,0,0,0,0,0,0,0
sergeykomlev,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
sergeykomlev,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
sergeykomlev,2023-03-30,97476313,austria,93153781,1,0,0,0,0,0,0,0,0
sergeykomlev,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
sergeykomlev,2023-04-03,97856141,austria,93153781,1,0,0,0,0,0,0,0,0
sergeykomlev,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
sergeykomlev,2023-04-05,98280774,austria,,1,0,0,0,0,0,0,0,0
sergeykomlev,2023-04-06,,austria,,0,0,0,0,0,0,0,0,0
peter12908,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
