repo,country_commits,total_commits,country_ratio,repo_url
enricotomasi/GeeksforGeeks_problems,871,871,1.0,https://github.com/enricotomasi/GeeksforGeeks_problems
alvr-org/ALVR,701,867,0.8085351787773933,https://github.com/alvr-org/ALVR
locriandev/aos-cd-jobs,849,850,0.9988235294117648,https://github.com/locriandev/aos-cd-jobs
TseTmc-com/ebgosite,841,841,1.0,https://github.com/TseTmc-com/ebgosite
LangStream/langstream,696,834,0.8345323741007195,https://github.com/LangStream/langstream
robertavaltorta/robertavaltorta.github.io,831,831,1.0,https://github.com/robertavaltorta/robertavaltorta.github.io
alemuntoni/vclib,820,820,1.0,https://github.com/alemuntoni/vclib
Gabboxl/ClassevivaPCTO,803,814,0.9864864864864864,https://github.com/Gabboxl/ClassevivaPCTO
MatteoH2O1999/build-and-install-python,695,810,0.8580246913580247,https://github.com/MatteoH2O1999/build-and-install-python
alpha-unito/streamflow,754,789,0.9556400506970848,https://github.com/alpha-unito/streamflow
skyward-er/boardcore,645,783,0.8237547892720306,https://github.com/skyward-er/boardcore
skyward-er/obsw,753,776,0.970360824742268,https://github.com/skyward-er/obsw
Sebo-the-tramp/GithubPixelArt,769,769,1.0,https://github.com/Sebo-the-tramp/GithubPixelArt
antoniogweb/EcommerceMyAdmin,766,766,1.0,https://github.com/antoniogweb/EcommerceMyAdmin
JuliaGraphs/MultilayerGraphs.jl,593,753,0.7875166002656042,https://github.com/JuliaGraphs/MultilayerGraphs.jl
Insane96/IguanaTweaksReborn,745,745,1.0,https://github.com/Insane96/IguanaTweaksReborn
micro-lc/micro-lc,583,733,0.7953615279672579,https://github.com/micro-lc/micro-lc
LifeMC-Studios/LifeMC,562,716,0.7849162011173184,https://github.com/LifeMC-Studios/LifeMC
Dudo1985/Yet-Another-Stars-Rating,708,708,1.0,https://github.com/Dudo1985/Yet-Another-Stars-Rating
DonRP/BBAS,708,708,1.0,https://github.com/DonRP/BBAS
matteogiorgi/.udot,701,701,1.0,https://github.com/matteogiorgi/.udot
GyulyVGC/sniffnet,614,697,0.8809182209469153,https://github.com/GyulyVGC/sniffnet
Droptop-Four/test,695,695,1.0,https://github.com/Droptop-Four/test
kokoko3k/koko-aio-slang,690,690,1.0,https://github.com/kokoko3k/koko-aio-slang
xFrah/WICK-FINAL,689,689,1.0,https://github.com/xFrah/WICK-FINAL
formidablae/my_github_profile_views_counter,687,687,1.0,https://github.com/formidablae/my_github_profile_views_counter
girolamodaschio/upptime,674,674,1.0,https://github.com/girolamodaschio/upptime
spartacus04/jext-reborn,673,674,0.9985163204747776,https://github.com/spartacus04/jext-reborn
bancaditalia/black-it,673,673,1.0,https://github.com/bancaditalia/black-it
evacchi/wazero,643,673,0.9554234769687964,https://github.com/evacchi/wazero
rbonghi/jetson_stats,651,671,0.970193740685544,https://github.com/rbonghi/jetson_stats
LoryFr/loryfr.github.io,668,668,1.0,https://github.com/LoryFr/loryfr.github.io
zwave-js/zwave-js-ui,604,667,0.9055472263868066,https://github.com/zwave-js/zwave-js-ui
fundor333/fundor333-source,661,661,1.0,https://github.com/fundor333/fundor333-source
LocLix/StatusPage,648,648,1.0,https://github.com/LocLix/StatusPage
gamboz/wjs-profile-project,645,645,1.0,https://github.com/gamboz/wjs-profile-project
Andreagit97/libs,638,638,1.0,https://github.com/Andreagit97/libs
LuckeeDev/csl,507,636,0.7971698113207547,https://github.com/LuckeeDev/csl
robang74/redfishos,635,635,1.0,https://github.com/robang74/redfishos
Tiledesk/tiledesk-server,534,626,0.853035143769968,https://github.com/Tiledesk/tiledesk-server
WinterWind33/fish-and-plants,600,623,0.9630818619582664,https://github.com/WinterWind33/fish-and-plants
iamgio/OOP22-pixformer,466,616,0.7564935064935064,https://github.com/iamgio/OOP22-pixformer
dudexpress/dudexpress.github.io,616,616,1.0,https://github.com/dudexpress/dudexpress.github.io
mattdibi/kura,610,613,0.99510603588907,https://github.com/mattdibi/kura
bmanzari/release,605,605,1.0,https://github.com/bmanzari/release
UniBoDS4H/Image-Alignment,465,604,0.7698675496688742,https://github.com/UniBoDS4H/Image-Alignment
matteogiorgi/.minidot,602,602,1.0,https://github.com/matteogiorgi/.minidot
edoardottt/secfiles,597,597,1.0,https://github.com/edoardottt/secfiles
ccaudek/ds4psy_2023,595,595,1.0,https://github.com/ccaudek/ds4psy_2023
spring1843/karpenter,589,592,0.9949324324324323,https://github.com/spring1843/karpenter
universalbit-dev/iD,592,592,1.0,https://github.com/universalbit-dev/iD
your-digital-rights/yourdigitalrights.org,583,590,0.988135593220339,https://github.com/your-digital-rights/yourdigitalrights.org
DonRP/AmityPark,576,587,0.9812606473594548,https://github.com/DonRP/AmityPark
nicolo-ribaudo/babel,498,587,0.848381601362862,https://github.com/nicolo-ribaudo/babel
ami-iit/bipedal-locomotion-framework,480,585,0.8205128205128205,https://github.com/ami-iit/bipedal-locomotion-framework
Tortar/mesa,563,572,0.9842657342657344,https://github.com/Tortar/mesa
mdesalvo/RDFSharp.Semantics.Extensions,567,567,1.0,https://github.com/mdesalvo/RDFSharp.Semantics.Extensions
Zextras/carbonio-mails-ui,437,565,0.7734513274336283,https://github.com/Zextras/carbonio-mails-ui
fit-project/fit,474,562,0.8434163701067615,https://github.com/fit-project/fit
binghe/HOL,562,562,1.0,https://github.com/binghe/HOL
cthiebaud/ciaccona,557,557,1.0,https://github.com/cthiebaud/ciaccona
ctrlmaniac/minigest,552,552,1.0,https://github.com/ctrlmaniac/minigest
FedericoBruzzone/master-courses,552,552,1.0,https://github.com/FedericoBruzzone/master-courses
Gabboxl/gtfs-osm-import,540,551,0.9800362976406534,https://github.com/Gabboxl/gtfs-osm-import
DragonMinded/libdragon,464,547,0.8482632541133455,https://github.com/DragonMinded/libdragon
sighupio/fury-distribution,538,544,0.9889705882352942,https://github.com/sighupio/fury-distribution
dej611/kibana,456,543,0.8397790055248618,https://github.com/dej611/kibana
olich97/olich97,540,542,0.996309963099631,https://github.com/olich97/olich97
valeriosetti/mbedtls,530,541,0.9796672828096118,https://github.com/valeriosetti/mbedtls
f-corvaro/42.common_core,540,540,1.0,https://github.com/f-corvaro/42.common_core
Cyofanni/high-school-cs-class,540,540,1.0,https://github.com/Cyofanni/high-school-cs-class
bluenviron/mediamtx,519,535,0.9700934579439252,https://github.com/bluenviron/mediamtx
immobiliare/backstage-plugin-ldap-auth,417,534,0.7808988764044944,https://github.com/immobiliare/backstage-plugin-ldap-auth
lorumic/lxd-ui,505,533,0.947467166979362,https://github.com/lorumic/lxd-ui
fax4ever/infinispan,529,532,0.9943609022556392,https://github.com/fax4ever/infinispan
csdavide/pinpoint,529,529,1.0,https://github.com/csdavide/pinpoint
robang74/isar,528,528,1.0,https://github.com/robang74/isar
lorenzoRosin/embeddedFSS,523,523,1.0,https://github.com/lorenzoRosin/embeddedFSS
apache/syncope,499,523,0.9541108986615678,https://github.com/apache/syncope
nightwnvol/amico_gh_actions,521,521,1.0,https://github.com/nightwnvol/amico_gh_actions
ofanan/FIAT,517,517,1.0,https://github.com/ofanan/FIAT
Kidel/BG3_Artificer,452,516,0.875968992248062,https://github.com/Kidel/BG3_Artificer
Strumenta/kolasu,515,515,1.0,https://github.com/Strumenta/kolasu
ADVRHumanoids/awesome_leg,497,514,0.9669260700389104,https://github.com/ADVRHumanoids/awesome_leg
traversaro/staged-recipes,510,513,0.9941520467836256,https://github.com/traversaro/staged-recipes
alexfoglia1/axel,512,512,1.0,https://github.com/alexfoglia1/axel
Indisparte/CineMates,506,512,0.98828125,https://github.com/Indisparte/CineMates
egalli64/jex,508,508,1.0,https://github.com/egalli64/jex
salvatore-campagna/elasticsearch,485,504,0.9623015873015872,https://github.com/salvatore-campagna/elasticsearch
nicolabaesso/Nirvana-Website,419,504,0.8313492063492064,https://github.com/nicolabaesso/Nirvana-Website
nutgram/nutgram,458,504,0.9087301587301588,https://github.com/nutgram/nutgram
robotology/robots-configuration,499,502,0.99402390438247,https://github.com/robotology/robots-configuration
twinlogix/mondrian-framework,469,502,0.9342629482071712,https://github.com/twinlogix/mondrian-framework
KuryGabriele/echo-project,492,501,0.9820359281437124,https://github.com/KuryGabriele/echo-project
immobiliare/backstage-plugin-gitlab,380,501,0.7584830339321357,https://github.com/immobiliare/backstage-plugin-gitlab
rmottola/Arctic-Fox,500,500,1.0,https://github.com/rmottola/Arctic-Fox
perillo/zig,494,499,0.9899799599198396,https://github.com/perillo/zig
globaleaks/GlobaLeaks,458,498,0.9196787148594378,https://github.com/globaleaks/GlobaLeaks
skypjack/entt,497,497,1.0,https://github.com/skypjack/entt
TetaBuilder/teta_widgets,407,496,0.8205645161290323,https://github.com/TetaBuilder/teta_widgets
12rambau/sepal_ui,487,493,0.9878296146044624,https://github.com/12rambau/sepal_ui
pieroproietti/penguins-wardrobe,493,493,1.0,https://github.com/pieroproietti/penguins-wardrobe
adpmdrones/combox-fc,491,491,1.0,https://github.com/adpmdrones/combox-fc
GatherPress/gatherpress,490,491,0.9979633401221996,https://github.com/GatherPress/gatherpress
Cipulot/qmk_firmware,488,488,1.0,https://github.com/Cipulot/qmk_firmware
tncrazvan/catpaw-dev-tools,487,487,1.0,https://github.com/tncrazvan/catpaw-dev-tools
didoda/manager,466,484,0.962809917355372,https://github.com/didoda/manager
tracking-exposed/trex,436,484,0.9008264462809916,https://github.com/tracking-exposed/trex
vitodtagliente/AwesomeEngine,478,484,0.987603305785124,https://github.com/vitodtagliente/AwesomeEngine
logix-software/webSite,482,484,0.9958677685950412,https://github.com/logix-software/webSite
diowa/ruby3-rails7-bootstrap-heroku,439,483,0.9089026915113873,https://github.com/diowa/ruby3-rails7-bootstrap-heroku
Athena-OS/athena-repository,483,483,1.0,https://github.com/Athena-OS/athena-repository
rasky/libdragon,479,482,0.9937759336099584,https://github.com/rasky/libdragon
alalazo/spack,455,482,0.9439834024896264,https://github.com/alalazo/spack
khobatha/bahmni-app-dhis2-integration,446,482,0.925311203319502,https://github.com/khobatha/bahmni-app-dhis2-integration
Droptop-Four/GlobalData,470,481,0.9771309771309772,https://github.com/Droptop-Four/GlobalData
rejetto/hfs,478,478,1.0,https://github.com/rejetto/hfs
ilgrosso/syncope,478,478,1.0,https://github.com/ilgrosso/syncope
valeriosofi/nebullvm,477,478,0.997907949790795,https://github.com/valeriosofi/nebullvm
enrico-usai/aws-parallelcluster-cookbook,473,477,0.9916142557651992,https://github.com/enrico-usai/aws-parallelcluster-cookbook
NNPDF/pineko,405,477,0.8490566037735849,https://github.com/NNPDF/pineko
sofia-calgaro/legend-data-monitor,370,477,0.7756813417190775,https://github.com/sofia-calgaro/legend-data-monitor
DIncalciLab/dincalcilab-lowfrac-variant-benchmark,477,477,1.0,https://github.com/DIncalciLab/dincalcilab-lowfrac-variant-benchmark
josura/c2c-sepia,476,476,1.0,https://github.com/josura/c2c-sepia
ittagnelli/SARP,374,472,0.7923728813559322,https://github.com/ittagnelli/SARP
FedericoMungari/SemanticDrivenOrchestrator,471,471,1.0,https://github.com/FedericoMungari/SemanticDrivenOrchestrator
davidebolo1993/davidebolo1993,471,471,1.0,https://github.com/davidebolo1993/davidebolo1993
wolf4ood/DataSpaceConnector,471,471,1.0,https://github.com/wolf4ood/DataSpaceConnector
fusillicode/xddmod,448,470,0.9531914893617022,https://github.com/fusillicode/xddmod
atelier-saulx/selva,374,469,0.7974413646055437,https://github.com/atelier-saulx/selva
aws-samples/cdk-aws-iotfleetwise,466,466,1.0,https://github.com/aws-samples/cdk-aws-iotfleetwise
dainok/netdoc,464,464,1.0,https://github.com/dainok/netdoc
Willy-JL/F95Checker,464,464,1.0,https://github.com/Willy-JL/F95Checker
kikkomep/life_monitor,453,461,0.982646420824295,https://github.com/kikkomep/life_monitor
alejoe91/spikeinterface,434,461,0.9414316702819956,https://github.com/alejoe91/spikeinterface
CrescenzoRegaLF/liferay-portal,458,458,1.0,https://github.com/CrescenzoRegaLF/liferay-portal
ffxivita/XIVITAGuide,349,458,0.7620087336244541,https://github.com/ffxivita/XIVITAGuide
SKA-INAF/sclassifier,456,458,0.9956331877729258,https://github.com/SKA-INAF/sclassifier
pieroproietti/penguins-blog,444,458,0.9694323144104804,https://github.com/pieroproietti/penguins-blog
SebaUbuntu/android_packages_apps_Aperture,449,456,0.9846491228070176,https://github.com/SebaUbuntu/android_packages_apps_Aperture
lspita/lspita.github.io,456,456,1.0,https://github.com/lspita/lspita.github.io
giacomogroppi/writernote-qt,456,456,1.0,https://github.com/giacomogroppi/writernote-qt
lab51org/gazie,454,454,1.0,https://github.com/lab51org/gazie
giuliobenetti/buildroot,452,452,1.0,https://github.com/giuliobenetti/buildroot
vigna/webgraph-rs,444,451,0.984478935698448,https://github.com/vigna/webgraph-rs
punesemu/puNES,450,450,1.0,https://github.com/punesemu/puNES
Athena-OS/athena-iso,445,450,0.9888888888888888,https://github.com/Athena-OS/athena-iso
ilmanzo/os-autoinst-distri-opensuse,383,448,0.8549107142857143,https://github.com/ilmanzo/os-autoinst-distri-opensuse
mcallegari/qlcplus-docs,447,447,1.0,https://github.com/mcallegari/qlcplus-docs
sighupio/gatekeeper-policy-manager,347,446,0.7780269058295964,https://github.com/sighupio/gatekeeper-policy-manager
MamaNyoSquad/mamanyosquad.github.io,423,445,0.950561797752809,https://github.com/MamaNyoSquad/mamanyosquad.github.io
diowa/icare,339,444,0.7635135135135135,https://github.com/diowa/icare
JuliaDynamics/ABM_Framework_Comparisons,430,443,0.9706546275395034,https://github.com/JuliaDynamics/ABM_Framework_Comparisons
lfoscari/bitcoin2webgraph,442,442,1.0,https://github.com/lfoscari/bitcoin2webgraph
Mickeon/godot,439,439,1.0,https://github.com/Mickeon/godot
PedrelliLuca/ScalarField,438,438,1.0,https://github.com/PedrelliLuca/ScalarField
icub-tech-iit/cad-mechanics-public,438,438,1.0,https://github.com/icub-tech-iit/cad-mechanics-public
